category,subcategory,sku,image,status,name,featured,new_arrival,brand,quantity,Sample Price,Wholesale Price List 10 Items,Wholesale Price List 50 Items,Wholesale Price List 100 Items,Cost Price,short_description,description
Fashion,Sport Shoes,BD4825-42,BD4825-42,Enable,Reebok YOURFLEX TRAIN 9.0  Sneakers BD4825 Black,0,0,Reebok,1000,290,276,247,218,203,"You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility","You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility
Targeted Group: Men
Occasion: YOURFLEX TRAIN 9.0 
Style: Sneakers
Color: Black
Size EU: 42"
Fashion,Sport Shoes,BD4825-41,BD4825-41,Enable,Reebok YOURFLEX TRAIN 9.0  Sneakers BD4825 Black,0,0,Reebok,1000,290,276,247,218,203,"You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility","You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility
Targeted Group: Men
Occasion: YOURFLEX TRAIN 9.0 
Style: Sneakers
Color: Black
Size EU: 41"
Fashion,Sport Shoes,BD4825-40.5,BD4825-40.5,Enable,Reebok YOURFLEX TRAIN 9.0  Sneakers BD4825 Black,0,0,Reebok,1000,290,276,247,218,203,"You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility","You don't let anything hold you back, not even your shoes. Take your training to the next level in these featherweight Yourflex trainers. This sneaker comes equipped with the lightest and most flexible sole in our training line, meaning you can tackle any workout without extra weigh-down.
Neoprene and mesh upper for sculpted comfort and breathability
Low-cut design for ankle mobility
Microweb technology for midfoot support
Oversized delta logo on the side
Ultralight outsole for maximum flexibility
Targeted Group: Men
Occasion: YOURFLEX TRAIN 9.0 
Style: Sneakers
Color: Black
Size EU: 40.5"
Fashion,Sport Shoes,BD5537-40,BD5537-40,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 40"
Fashion,Sport Shoes,BD5537-40.5,BD5537-40.5,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 40.5"
Fashion,Sport Shoes,BD5537-41,BD5537-41,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 41"
Fashion,Sport Shoes,BD5537-42,BD5537-42,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 42"
Fashion,Sport Shoes,BD5537-42.5,BD5537-42.5,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 42.5"
Fashion,Sport Shoes,BD5537-43,BD5537-43,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 43"
Fashion,Sport Shoes,BD5537-44.5,BD5537-44.5,Enable,Reebok SUBLITE XT CUSHION 2.0  Sneakers BD5537 Black,0,0,Reebok,1000,285,271,242,214,200,"Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort","Those who demand serious cushioning, stop here. Light on weight and heavy on performance, this run-ready shoe includes a Memory Tech sockliner for immediate, airy softening. The trim, mesh-wrapped silhouette looks sleek and feels cool. Plus, your steps stay seamless with the one-piece, chafe-proof upper.

Mesh and leather upper for for breathability and support
Low-cut design for freedom of motion at the ankles
Sublite midsole foam provides cushioning and protection
Full-foot flex grooves for natural movement
Targeted rubber on the outsole for traction and durability
Memory Tech sockliner available for superior comfort
Targeted Group: Men
Occasion: SUBLITE XT CUSHION 2.0 
Style: Sneakers
Color: Black
Size EU: 44.5"
